Product Name,Unit,UPC,Location,Price
Fresh Banana - Single,0000000004011,Located in PRODUCE,$0.$
Fresh Roma Tomato,0000000004087,Located in PRODUCE,$0.$
Cucumber,0000000004062,Located in PRODUCE,$0.$
Medium Avocado,0000000004046,Located in PRODUCE,$0.$
Medium Yellow Onions,0000000004093,Located in PRODUCE,$0.$
Cilantro,0000000004889,Located in PRODUCE,$0.$
Iceberg Lettuce,0000000004061,Located in PRODUCE,$1.$
Fresh Organic Banana - Single,0000000094011,Located in PRODUCE,$0.$
Green White Seedless Grapes,0000000004022,Located in PRODUCE,$6.$
Fresh Large Green Bell Pepper,0000000004065,Located in PRODUCE,$0.$
Large Avocado,0000000004225,Located in PRODUCE,$1.$
Red Seedless Grapes,0000000004023,Located in PRODUCE,$6.$
Green Onions,0000000004068,Located in PRODUCE,$0.$
Fresh Lemon - Each,0000000004053,Located in PRODUCE,$0.$
Seedless Mandarin Clementine Oranges in 3lb Bag,0003338314616,Located in PRODUCE,$5.$
Broccoli Crowns,0000000003082,Located in PRODUCE,$1.$
Fresh Limes,0000000004048,Located in PRODUCE,$0.$
Sweet Jumbo Yellow Onions,0000000004166,Located in PRODUCE,$1.$
Celery,0000000004070,Located in PRODUCE,$1.$
Jumbo Red Onions,0000000004082,Located in PRODUCE,$0.$
Large Honeycrisp Apple - Each,0000000003283,Located in PRODUCE,$1.$
Kroger® Purified Bottled Water,0001111009855,Located in AISLE 14,$6.$
